id,question,answer,qa_text
13,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,非常抱歉给您带来不好的体验，商品只用一次就出故障，我们一定负责处理。请您提供一下订单号及购买凭证（如订单截图），我这边会直接协助提交保修申请并跟进工单，确保有专人对接您。若方便，也可以先尝试关闭设备电源后重新开机，看看故障是否依然存在。,"Question:
你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！

Answer:
非常抱歉给您带来不好的体验，商品只用一次就出故障，我们一定负责处理。请您提供一下订单号及购买凭证（如订单截图），我这边会直接协助提交保修申请并跟进工单，确保有专人对接您。若方便，也可以先尝试关闭设备电源后重新开机，看看故障是否依然存在。"
14,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,非常抱歉给您带来不便。商品出现拆封和污渍确实不该发生。请先保留好外包装、面单和所有商品实物，并拍摄清晰的**包装全景、污渍细节及面单照片**，同时提供您的**订单号**。我们收到后会立即核实，确认为二手/质量问题将为您安排退换或退款，并由我们承担运费。,"Question:
我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！

Answer:
非常抱歉给您带来不便。商品出现拆封和污渍确实不该发生。请先保留好外包装、面单和所有商品实物，并拍摄清晰的**包装全景、污渍细节及面单照片**，同时提供您的**订单号**。我们收到后会立即核实，确认为二手/质量问题将为您安排退换或退款，并由我们承担运费。"
15,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,"我们非常重视您反馈的问题。为尽快核实，请您提供以下材料：

- 订单号及完整商品包装照片
- 商品实物细节图，特别是您认为与正品不符的部位
- 如有品牌官方鉴定、专柜验货报告等正品对比依据，也请一并提供

收到后我们会尽快核查，若确认为非正品，将依据规则为您办理退货退款并承担相应责任。","Question:
你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！

Answer:
我们非常重视您反馈的问题。为尽快核实，请您提供以下材料：

- 订单号及完整商品包装照片
- 商品实物细节图，特别是您认为与正品不符的部位
- 如有品牌官方鉴定、专柜验货报告等正品对比依据，也请一并提供

收到后我们会尽快核查，若确认为非正品，将依据规则为您办理退货退款并承担相应责任。"
16,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,收到商品有轻微划痕但建议先保留好原包装与完整订单信息，并拍下清晰的划痕照片。您可以将凭证提供给在线客服，我们会根据核实结果确认是否符合换货条件并安排后续处理。,"Question:
我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？

Answer:
收到商品有轻微划痕但建议先保留好原包装与完整订单信息，并拍下清晰的划痕照片。您可以将凭证提供给在线客服，我们会根据核实结果确认是否符合换货条件并安排后续处理。"
17,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？","您好，包装盒丢失能否换货主要看原因：

1. 若属商品质量问题，通常仍可换货，您无需额外支付包装费，寄回时做好保护即可。请提供订单号和实物照片联系客服核实。
2. 若是个人原因（如不喜欢）申请无理由换货，因影响二次销售，通常无法支持。

具体以客服审核为准。","Question:
我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？

Answer:
您好，包装盒丢失能否换货主要看原因：

1. 若属商品质量问题，通常仍可换货，您无需额外支付包装费，寄回时做好保护即可。请提供订单号和实物照片联系客服核实。
2. 若是个人原因（如不喜欢）申请无理由换货，因影响二次销售，通常无法支持。

具体以客服审核为准。"
18,我想退货，但是已经超过7天无理由退换货期限了，还能退吗？,超过7天无理由退换货期限后，已不适用无理由退货。但若商品存在质量问题，您仍可联系客服处理。请先确认商品是否存在故障或瑕疵，如有，请保留包装和商品，并提供能体现问题的清晰照片或视频，我们会尽快协助您核实并安排退换或维修。,"Question:
我想退货，但是已经超过7天无理由退换货期限了，还能退吗？

Answer:
超过7天无理由退换货期限后，已不适用无理由退货。但若商品存在质量问题，您仍可联系客服处理。请先确认商品是否存在故障或瑕疵，如有，请保留包装和商品，并提供能体现问题的清晰照片或视频，我们会尽快协助您核实并安排退换或维修。"
19,"请问你们的商品能提供纸质版说明书吗？
电子版在哪里可以找到？",您好，通常情况下产品包装内会附带纸质版说明书。如需电子版，可访问我们的售后支持网站，输入产品型号即可查找并下载对应的用户手册。,"Question:
请问你们的商品能提供纸质版说明书吗？
电子版在哪里可以找到？

Answer:
您好，通常情况下产品包装内会附带纸质版说明书。如需电子版，可访问我们的售后支持网站，输入产品型号即可查找并下载对应的用户手册。"
20,"请问你们家的商品能寄到国外吗？
运费怎么算？大概需要多久能到？",目前国际配送政策因国家/地区而异，需要根据您的具体收货地址确认是否支持、运费及时效。麻烦您提供收货国家和邮编，我们帮您查询对应方案。,"Question:
请问你们家的商品能寄到国外吗？
运费怎么算？大概需要多久能到？

Answer:
目前国际配送政策因国家/地区而异，需要根据您的具体收货地址确认是否支持、运费及时效。麻烦您提供收货国家和邮编，我们帮您查询对应方案。"
21,"我购买的商品，想开发票抬头为公司，需要注意什么？
抬头写错了，能重新开具吗？","开具公司抬头的发票，需注意：提交开票申请时，请提供准确的单位名称和纳税人识别号（税号），并确认所需的发票类型（电子或纸质）。电子发票开具后发送更快，请确保信息无误。

发票抬头写错一般支持重新开具。请您联系在线客服，提供原发票信息以及正确的公司抬头和税号，我们会为您核实处理。","Question:
我购买的商品，想开发票抬头为公司，需要注意什么？
抬头写错了，能重新开具吗？

Answer:
开具公司抬头的发票，需注意：提交开票申请时，请提供准确的单位名称和纳税人识别号（税号），并确认所需的发票类型（电子或纸质）。电子发票开具后发送更快，请确保信息无误。

发票抬头写错一般支持重新开具。请您联系在线客服，提供原发票信息以及正确的公司抬头和税号，我们会为您核实处理。"
22,"我收到商品后，发现商品有瑕疵，但是已经使用过了，能售后吗？
换货还是只能维修？",您好，瑕疵属于质量问题，即使已经使用过，也支持售后。请先保留好商品和包装，并提供订单号、瑕疵部位清晰照片，客服核实后会根据情况为您安排换货或维修。,"Question:
我收到商品后，发现商品有瑕疵，但是已经使用过了，能售后吗？
换货还是只能维修？

Answer:
您好，瑕疵属于质量问题，即使已经使用过，也支持售后。请先保留好商品和包装，并提供订单号、瑕疵部位清晰照片，客服核实后会根据情况为您安排换货或维修。"
23,我想取消订单，但是订单已经付款了，能全额退款吗？,如果您在订单发货前取消，通常可以全额退款，款项会原路退回。若已发货，则需收货后按七天无理由退货处理，商品不影响二次销售可全额退款，非质量问题可能需您承担寄回运费。建议您尽快在订单页面提交取消申请，或联系我们确认物流状态以准确处理。,"Question:
我想取消订单，但是订单已经付款了，能全额退款吗？

Answer:
如果您在订单发货前取消，通常可以全额退款，款项会原路退回。若已发货，则需收货后按七天无理由退货处理，商品不影响二次销售可全额退款，非质量问题可能需您承担寄回运费。建议您尽快在订单页面提交取消申请，或联系我们确认物流状态以准确处理。"
24,"请问你们的商品有售后保障卡吗？
卡丢了，还能享受售后服务吗？",您好，我们的商品不依赖实体售后保障卡提供保修，卡丢失不影响您享受售后服务。申请保修时主要凭有效的购买凭证，如商店收据或发票。只要您能提供这些凭证，就可通过售后支持网站提交申请，按流程进行维修或更换。,"Question:
请问你们的商品有售后保障卡吗？
卡丢了，还能享受售后服务吗？

Answer:
您好，我们的商品不依赖实体售后保障卡提供保修，卡丢失不影响您享受售后服务。申请保修时主要凭有效的购买凭证，如商店收据或发票。只要您能提供这些凭证，就可通过售后支持网站提交申请，按流程进行维修或更换。"
25,请问你们家支持以旧换新服务吗？,目前我们暂未提供以旧换新服务。如果您有旧洗碗机需要处理，建议按环保方式交由当地回收中心（处理前请先剪断电源线并破坏机门锁扣，以确保儿童安全）。如有其他售后问题，可随时告知我们。,"Question:
请问你们家支持以旧换新服务吗？

Answer:
目前我们暂未提供以旧换新服务。如果您有旧洗碗机需要处理，建议按环保方式交由当地回收中心（处理前请先剪断电源线并破坏机门锁扣，以确保儿童安全）。如有其他售后问题，可随时告知我们。"
26,"请问你们的智能客服能解答哪些问题？
智能客服解答不了的问题，怎么办？","智能客服可以解答常见订单查询、物流追踪、退换货政策、发票申请以及产品使用基础问题等。  
若遇到智能客服无法处理的问题，系统会引导您转接人工客服，您也可以直接拨打售后热线或通过邮件联系我们；届时请准备好订单号和相关凭证，以便快速处理。","Question:
请问你们的智能客服能解答哪些问题？
智能客服解答不了的问题，怎么办？

Answer:
智能客服可以解答常见订单查询、物流追踪、退换货政策、发票申请以及产品使用基础问题等。  
若遇到智能客服无法处理的问题，系统会引导您转接人工客服，您也可以直接拨打售后热线或通过邮件联系我们；届时请准备好订单号和相关凭证，以便快速处理。"
33,"家支持7天无理由退货吗？
需要满足什么条件？","是的，我们支持七天无理由退货。需要满足以下条件：
- 商品保持完好、不影响二次销售（未经使用，原包装及配件齐全）。
- 非质量问题退货，寄回运费通常需您承担；如为质量问题，运费由我们承担。

请在签收后7天内联系客服处理。","Question:
家支持7天无理由退货吗？
需要满足什么条件？

Answer:
是的，我们支持七天无理由退货。需要满足以下条件：
- 商品保持完好、不影响二次销售（未经使用，原包装及配件齐全）。
- 非质量问题退货，寄回运费通常需您承担；如为质量问题，运费由我们承担。

请在签收后7天内联系客服处理。"
34,"我购买的商品，收到后发现少发了一件，怎么办？
什么时候能补寄？需要我承担运费吗？",您好，收到发现少件，请您先保留好商品外包装、订单号以及能体现少件的照片或视频。我们会尽快核实情况，核实后会立即为您安排补寄，发出后第一时间将单号通知您。本次少件属于发货失误，补寄的运费由我们承担，您无需支付任何费用。,"Question:
我购买的商品，收到后发现少发了一件，怎么办？
什么时候能补寄？需要我承担运费吗？

Answer:
您好，收到发现少件，请您先保留好商品外包装、订单号以及能体现少件的照片或视频。我们会尽快核实情况，核实后会立即为您安排补寄，发出后第一时间将单号通知您。本次少件属于发货失误，补寄的运费由我们承担，您无需支付任何费用。"
35,想换成其他款式，能换货吗？,如果您想更换为其他款式，只要商品本身及包装完好、不影响二次销售，签收后7天内可以申请换货。需要我协助核对条件的话，请提供订单号。,"Question:
想换成其他款式，能换货吗？

Answer:
如果您想更换为其他款式，只要商品本身及包装完好、不影响二次销售，签收后7天内可以申请换货。需要我协助核对条件的话，请提供订单号。"
36,请问商品的生产日期是什么时候？,"目前无法直接查询该商品的生产日期，建议您先查看机身侧面标签或包装箱上的生产日期/批次号。

如需我们协助核对，请在会话中提供订单号、商品型号和序列号（通常位于设备侧面标签），我们会尝试调取对应批次信息。","Question:
请问商品的生产日期是什么时候？

Answer:
目前无法直接查询该商品的生产日期，建议您先查看机身侧面标签或包装箱上的生产日期/批次号。

如需我们协助核对，请在会话中提供订单号、商品型号和序列号（通常位于设备侧面标签），我们会尝试调取对应批次信息。"
37,请问你们的商品能提供上门安装服务吗？,您好，部分大件商品（如洗碗机）可安排授权售后服务中心提供上门安装。安装前请确保电源、供水和排水条件已就绪，相关环境准备由您负责；非授权人员操作造成的损坏制造商不承担保修责任。对于温控器、电钻充电器等安装较简单的商品，附有详细安装说明，通常可自行完成。如果仍有不确定，可联系售后获取进一步协助。,"Question:
请问你们的商品能提供上门安装服务吗？

Answer:
您好，部分大件商品（如洗碗机）可安排授权售后服务中心提供上门安装。安装前请确保电源、供水和排水条件已就绪，相关环境准备由您负责；非授权人员操作造成的损坏制造商不承担保修责任。对于温控器、电钻充电器等安装较简单的商品，附有详细安装说明，通常可自行完成。如果仍有不确定，可联系售后获取进一步协助。"
38,请问你们的商品能提供试用装吗？,目前我们暂不提供试用装，所有产品均为正式包装出售。如有其他问题，欢迎随时咨询。,"Question:
请问你们的商品能提供试用装吗？

Answer:
目前我们暂不提供试用装，所有产品均为正式包装出售。如有其他问题，欢迎随时咨询。"
39,我购买的商品，使用一段时间后出现质量问题，还能售后吗？,您好，使用后出现质量问题是可以申请售后的。具体保修期限根据购买地区有所不同，例如澳新地区为两年，其他多数地区为一年。请您提供订单号及购买地区，我们核实后会根据您的所在地适用政策为您进一步处理。,"Question:
我购买的商品，使用一段时间后出现质量问题，还能售后吗？

Answer:
您好，使用后出现质量问题是可以申请售后的。具体保修期限根据购买地区有所不同，例如澳新地区为两年，其他多数地区为一年。请您提供订单号及购买地区，我们核实后会根据您的所在地适用政策为您进一步处理。"
40,"我想给商品更换成更大的尺寸，能换吗？
尺寸差价怎么处理？",您好，若您购买的商品支持七天无理由退换货且不影响二次销售，可以申请更换尺寸。差价将按您原订单实付金额与所需尺寸的实际售价计算，多退少补。请提供订单号，我们为您尽快核实办理。,"Question:
我想给商品更换成更大的尺寸，能换吗？
尺寸差价怎么处理？

Answer:
您好，若您购买的商品支持七天无理由退换货且不影响二次销售，可以申请更换尺寸。差价将按您原订单实付金额与所需尺寸的实际售价计算，多退少补。请提供订单号，我们为您尽快核实办理。"
41,"快递丢失了，怎么办？
这种情况你们会怎么赔偿？多久能解决？","您的快递丢失了非常抱歉。请提供订单号和物流跟踪截图，我们会立即联系快递公司核实。

**怎么办？**  
确认丢件后，为您免费补发原商品，或按实际支付金额全额退款至原支付方式。

**怎么赔偿？**  
支持优先免费补发，或全额退款；不涉及额外赔偿。

**多久能解决？**  
我们将加急核查，有结果第一时间同步，通常整个处理周期会尽快完成。请您放心，我们会持续跟进。","Question:
快递丢失了，怎么办？
这种情况你们会怎么赔偿？多久能解决？

Answer:
您的快递丢失了非常抱歉。请提供订单号和物流跟踪截图，我们会立即联系快递公司核实。

**怎么办？**  
确认丢件后，为您免费补发原商品，或按实际支付金额全额退款至原支付方式。

**怎么赔偿？**  
支持优先免费补发，或全额退款；不涉及额外赔偿。

**多久能解决？**  
我们将加急核查，有结果第一时间同步，通常整个处理周期会尽快完成。请您放心，我们会持续跟进。"
42,我购买的商品，想申请退款，但是已经使用过了，能退吗？,您好，根据七天无理由退换货政策，已使用的商品若影响二次销售，通常不支持因个人原因的退款。但如果商品本身存在质量问题，无论是否使用，都可以申请退款或换货，并需要您提供相关凭证以便核实处理。,"Question:
我购买的商品，想申请退款，但是已经使用过了，能退吗？

Answer:
您好，根据七天无理由退换货政策，已使用的商品若影响二次销售，通常不支持因个人原因的退款。但如果商品本身存在质量问题，无论是否使用，都可以申请退款或换货，并需要您提供相关凭证以便核实处理。"
43,我购买的商品，快递送达时，我不在家，怎么办？,"如果您不在家无法当面签收，可以尝试：

1. 联系快递员：根据派件通知里的电话，协商改期派送或暂放快递柜、驿站、物业等地点。
2. 授权代收：通过快递公司App或小程序，选择“授权代收点”或“放置门口/前台”等选项。
3. 联系商家客服：若多次派送不成功导致包裹被退回，请提供订单号，我们会协助您跟进处理。

如需其他帮助，请随时告知。","Question:
我购买的商品，快递送达时，我不在家，怎么办？

Answer:
如果您不在家无法当面签收，可以尝试：

1. 联系快递员：根据派件通知里的电话，协商改期派送或暂放快递柜、驿站、物业等地点。
2. 授权代收：通过快递公司App或小程序，选择“授权代收点”或“放置门口/前台”等选项。
3. 联系商家客服：若多次派送不成功导致包裹被退回，请提供订单号，我们会协助您跟进处理。

如需其他帮助，请随时告知。"
44,请问你们的优惠券能用于所有商品吗？,您好，优惠券能否用于所有商品需以券面规则为准，建议您先查看优惠券详情页的使用说明。如需进一步协助，可提供优惠券代码或截图，我来帮您核实。,"Question:
请问你们的优惠券能用于所有商品吗？

Answer:
您好，优惠券能否用于所有商品需以券面规则为准，建议您先查看优惠券详情页的使用说明。如需进一步协助，可提供优惠券代码或截图，我来帮您核实。"
45,请问你们的商品能提供终身维修服务吗？,您好，关于终身维修服务，不同商品的售后政策可能存在差异，建议您提供具体商品名称或订单号，以便我们为您核实对应政策。在保修期内，非人为质量问题可优先免费处理；过保或人为损坏需检测后确认能否维修及费用。,"Question:
请问你们的商品能提供终身维修服务吗？

Answer:
您好，关于终身维修服务，不同商品的售后政策可能存在差异，建议您提供具体商品名称或订单号，以便我们为您核实对应政策。在保修期内，非人为质量问题可优先免费处理；过保或人为损坏需检测后确认能否维修及费用。"
46,我上个月购买的家电，使用不到一个月就出现故障，联系售后寄回维修，现在已经维修15天了，还没收到，而且我发现商品是翻新机，并非全新，要求退货退款并赔偿，请问该怎么处理？,"您好，非常抱歉您的经历。请先保管好全部包装、订单截图和物流凭证，然后提供以下信息以便我们专项处理：

- 订单号及设备机身序列号照片；
- 能证明是翻新机的依据（如系统信息截图或细节照片）；
- 售后维修的单号或寄回运单号。

我们会在核实后优先为您申请退货退款，同时催促维修超期未归还的问题。关于赔偿，会在确认后与您进一步沟通方案。","Question:
我上个月购买的家电，使用不到一个月就出现故障，联系售后寄回维修，现在已经维修15天了，还没收到，而且我发现商品是翻新机，并非全新，要求退货退款并赔偿，请问该怎么处理？

Answer:
您好，非常抱歉您的经历。请先保管好全部包装、订单截图和物流凭证，然后提供以下信息以便我们专项处理：

- 订单号及设备机身序列号照片；
- 能证明是翻新机的依据（如系统信息截图或细节照片）；
- 售后维修的单号或寄回运单号。

我们会在核实后优先为您申请退货退款，同时催促维修超期未归还的问题。关于赔偿，会在确认后与您进一步沟通方案。"
47,我在你们平台批量购买了100件商品用于企业采购，收到货后发现有20件存在质量问题，15件少发，而且发票开错了抬头，需要重新开具，同时想申请质量问题商品的换货和少发商品的补寄，请问流程是什么？,"订单涉及多个问题，可以一并处理。请按以下流程操作：

1. 保留凭证：请保管好原包装、发货单、物流面单，对20件质量问题的商品拍摄清晰的瑕疵照片或视频，对15件少发商品拍摄与发货单的对比图，连同订单号一并通过在线客服或售后通道提交。
2. 核实处理：我们核实后，20件质量问题商品将安排换货，往返运费由商家承担；15件少发商品将安排补寄，您无需额外支付运费。
3. 发票重开：请提供正确的单位全称及税号，我们为您作废原发票并重新开具，电子发票会更快发送到您申请时填写的邮箱。

凭证提交后，我们会统一创建售后工单跟进，请您放心。","Question:
我在你们平台批量购买了100件商品用于企业采购，收到货后发现有20件存在质量问题，15件少发，而且发票开错了抬头，需要重新开具，同时想申请质量问题商品的换货和少发商品的补寄，请问流程是什么？

Answer:
订单涉及多个问题，可以一并处理。请按以下流程操作：

1. 保留凭证：请保管好原包装、发货单、物流面单，对20件质量问题的商品拍摄清晰的瑕疵照片或视频，对15件少发商品拍摄与发货单的对比图，连同订单号一并通过在线客服或售后通道提交。
2. 核实处理：我们核实后，20件质量问题商品将安排换货，往返运费由商家承担；15件少发商品将安排补寄，您无需额外支付运费。
3. 发票重开：请提供正确的单位全称及税号，我们为您作废原发票并重新开具，电子发票会更快发送到您申请时填写的邮箱。

凭证提交后，我们会统一创建售后工单跟进，请您放心。"
48,我购买的食品类商品，收到后发现生产日期临近过期，而且包装破损，部分商品受潮无法食用，我要求退货退款并赔偿，同时担心食用了受潮商品影响健康，请问能提供相关保障吗？,"您好，您反馈的食品临近过期且包装破损受潮，属商品质量问题。我们可为您办理退货退款，运费由我们承担。请保留商品原包装、订单号及清晰反映破损/受潮的照片凭证，以便快速核实。

关于赔偿与健康顾虑，我们会记录并上报售后专员进一步评估补偿方案。建议您暂停食用并妥善留存问题商品，若身体出现不适请及时就医并保留医疗凭证，这将有助于后续处理。请通过在线客服发送凭证，我们会加急为您跟进。","Question:
我购买的食品类商品，收到后发现生产日期临近过期，而且包装破损，部分商品受潮无法食用，我要求退货退款并赔偿，同时担心食用了受潮商品影响健康，请问能提供相关保障吗？

Answer:
您好，您反馈的食品临近过期且包装破损受潮，属商品质量问题。我们可为您办理退货退款，运费由我们承担。请保留商品原包装、订单号及清晰反映破损/受潮的照片凭证，以便快速核实。

关于赔偿与健康顾虑，我们会记录并上报售后专员进一步评估补偿方案。建议您暂停食用并妥善留存问题商品，若身体出现不适请及时就医并保留医疗凭证，这将有助于后续处理。请通过在线客服发送凭证，我们会加急为您跟进。"
49,我购买的商品包装破损，商品出现损坏，而且快递员拒绝承认是运输问题，同时我已经签收商品，请问还能申请售后吗？,可以申请售后。签收不影响审核，关键是提供完整的破损凭证。请您保留破损的包装和商品，并将订单号、外包装照片及商品损坏细节照片发送给客服。我们会根据凭证核实后安排补发、退换或维修。,"Question:
我购买的商品包装破损，商品出现损坏，而且快递员拒绝承认是运输问题，同时我已经签收商品，请问还能申请售后吗？

Answer:
可以申请售后。签收不影响审核，关键是提供完整的破损凭证。请您保留破损的包装和商品，并将订单号、外包装照片及商品损坏细节照片发送给客服。我们会根据凭证核实后安排补发、退换或维修。"
50,我购买的大家电需要上门安装，但是安装人员上门后说需要额外收取配件费，而且安装服务原本应该是免费的，同时安装人员操作不规范，导致家电出现轻微损坏，请问该怎么处理？,"请按以下步骤处理：

1. 保留凭证：对损坏部位拍照或录像，保存收费记录（收据、转账截图）和订单号。
2. 核实资质并联系官方售后：通过产品包装或说明书上的客服电话，确认安装方是否属于授权售后服务中心。若是授权方，直接投诉额外收费及操作不规范导致的损坏，要求免费修复或赔偿；若非授权方，厂家可能不承担责任，需向派单方或电商平台申诉。
3. 申请平台介入：若在第三方平台购买，通过订单页面联系客服并上传凭证，说明免费安装承诺、额外收费和损坏情况，要求协助退换、维修或补偿。","Question:
我购买的大家电需要上门安装，但是安装人员上门后说需要额外收取配件费，而且安装服务原本应该是免费的，同时安装人员操作不规范，导致家电出现轻微损坏，请问该怎么处理？

Answer:
请按以下步骤处理：

1. 保留凭证：对损坏部位拍照或录像，保存收费记录（收据、转账截图）和订单号。
2. 核实资质并联系官方售后：通过产品包装或说明书上的客服电话，确认安装方是否属于授权售后服务中心。若是授权方，直接投诉额外收费及操作不规范导致的损坏，要求免费修复或赔偿；若非授权方，厂家可能不承担责任，需向派单方或电商平台申诉。
3. 申请平台介入：若在第三方平台购买，通过订单页面联系客服并上传凭证，说明免费安装承诺、额外收费和损坏情况，要求协助退换、维修或补偿。"
